CID,CNTRY
CST-00011000,Brazil
CST-00011001,Brazil
CST-00011002,Brazil
CST-00011003,Brazil
CST-00011004,Brazil
CST-00011005,Brazil
CST-00011006,Brazil
CST-00011007,Brazil
CST-00011008,Brazil
CST-00011009,Brazil
CST-00011010,Brazil
CST-00011011,Brazil
CST-00011012,US
CST-00011013,US
CST-00011014,US
CST-00011015,US
CST-00011016,US
CST-00011017,Brazil
CST-00011018,Brazil
CST-00011019,Canada
CST-00011020,Canada
CST-00011021,US
CST-00011022,US
CST-00011023,US
CST-00011024,US
CST-00011025,Brazil
CST-00011026,Brazil
CST-00011027,Brazil
CST-00011028,Brazil
CST-00011029,Brazil
CST-00011030,Brazil
CST-00011031,Brazil
CST-00011032,Brazil
CST-00011033,Brazil
CST-00011034,Brazil
CST-00011035,Brazil
CST-00011036,US
CST-00011037,Canada
CST-00011038,Brazil
CST-00011039,Brazil
CST-00011040,US
CST-00011041,US
CST-00011042,US
CST-00011043,US
CST-00011044,Brazil
CST-00011045,Brazil
CST-00011046,Brazil
CST-00011047,Brazil
CST-00011048,Brazil
CST-00011049,US
CST-00011050,Brazil
CST-00011051,Brazil
CST-00011052,Brazil
CST-00011053,US
CST-00011054,Brazil
CST-00011055,Brazil
CST-00011056,Brazil
CST-00011057,Brazil
CST-00011058,Brazil
CST-00011059,Brazil
CST-00011060,Brazil
CST-00011061,Brazil
CST-00011062,US
CST-00011063,US
CST-00011064,US
CST-00011065,US
CST-00011066,US
CST-00011067,US
CST-00011068,Brazil
CST-00011069,Brazil
CST-00011070,Brazil
CST-00011071,Brazil
CST-00011072,Brazil
CST-00011073,Brazil
CST-00011074,Brazil
CST-00011075,Brazil
CST-00011076,Brazil
CST-00011077,Brazil
CST-00011078,Canada
CST-00011079,Brazil
CST-00011080,Brazil
CST-00011081,US
CST-00011082,US
CST-00011083,US
CST-00011084,US
CST-00011085,US
CST-00011086,US
CST-00011087,US
CST-00011088,US
CST-00011089,US
CST-00011090,US
CST-00011091,Canada
CST-00011092,Brazil
CST-00011093,Brazil
CST-00011094,Brazil
CST-00011095,Brazil
CST-00011096,Brazil
CST-00011097,Brazil
CST-00011098,Brazil
CST-00011099,Brazil
CST-00011100,Brazil
CST-00011101,Brazil
CST-00011102,Brazil
CST-00011103,Brazil
CST-00011104,Brazil
CST-00011105,Brazil
CST-00011106,Brazil
CST-00011107,Brazil
CST-00011108,Brazil
CST-00011109,Brazil
CST-00011110,Brazil
CST-00011111,Brazil
CST-00011112,Brazil
CST-00011113,Brazil
CST-00011114,Brazil
CST-00011115,Brazil
CST-00011116,Brazil
CST-00011117,Brazil
CST-00011118,Brazil
CST-00011119,Brazil
CST-00011120,Brazil
CST-00011121,Brazil
CST-00011122,Brazil
CST-00011123,Brazil
CST-00011124,Brazil
CST-00011125,Brazil
CST-00011126,Brazil
CST-00011127,US
CST-00011128,US
CST-00011129,US
CST-00011130,US
CST-00011131,Canada
CST-00011132,Canada
CST-00011133,US
CST-00011134,Brazil
CST-00011135,US
CST-00011136,Canada
CST-00011137,US
CST-00011138,US
CST-00011139,Brazil
CST-00011140,US
CST-00011141,US
CST-00011142,Canada
CST-00011143,US
CST-00011144,US
CST-00011145,US
CST-00011146,Brazil
CST-00011147,Brazil
CST-00011148,Brazil
CST-00011149,Brazil
CST-00011150,Brazil
CST-00011151,Brazil
CST-00011152,US
CST-00011153,US
CST-00011154,US
CST-00011155,US
CST-00011156,US
CST-00011157,US
CST-00011158,US
CST-00011159,US
CST-00011160,US
CST-00011161,US
CST-00011162,US
CST-00011163,US
CST-00011164,US
CST-00011165,US
CST-00011166,US
CST-00011167,US
CST-00011168,US
CST-00011169,US
CST-00011170,US
CST-00011171,US
CST-00011172,US
CST-00011173,US
CST-00011174,US
CST-00011175,US
CST-00011176,Canada
CST-00011177,US
CST-00011178,US
CST-00011179,US
CST-00011180,US
CST-00011181,US
CST-00011182,US
CST-00011183,US
CST-00011184,US
CST-00011185,Canada
CST-00011186,US
CST-00011187,US
CST-00011188,US
CST-00011189,US
CST-00011190,US
CST-00011191,US
CST-00011192,US
CST-00011193,US
CST-00011194,US
CST-00011195,US
CST-00011196,US
CST-00011197,US
CST-00011198,US
CST-00011199,US
CST-00011200,Canada
CST-00011201,US
CST-00011202,US
CST-00011203,Canada
CST-00011204,US
CST-00011205,US
CST-00011206,US
CST-00011207,US
CST-00011208,US
CST-00011209,US
CST-00011210,US
CST-00011211,Canada
CST-00011212,Canada
CST-00011213,US
CST-00011214,US
CST-00011215,Canada
CST-00011216,US
CST-00011217,US
CST-00011218,US
CST-00011219,US
CST-00011220,US
CST-00011221,US
CST-00011222,US
CST-00011223,Canada
CST-00011224,US
CST-00011225,US
CST-00011226,US
CST-00011227,US
CST-00011228,US
CST-00011229,US
CST-00011230,US
CST-00011231,US
CST-00011232,US
CST-00011233,US
CST-00011234,US
CST-00011235,US
CST-00011236,US
CST-00011237,DE
CST-00011238,United Kingdom
CST-00011239,United Kingdom
CST-00011240,United Kingdom
CST-00011241,France
CST-00011242,France
CST-00011243,United Kingdom
CST-00011244,United Kingdom
CST-00011245,DE
CST-00011246,DE
CST-00011247,United Kingdom
CST-00011248,France
CST-00011249,DE
CST-00011250,United Kingdom
CST-00011251,Canada
CST-00011252,US
CST-00011253,Canada
CST-00011254,US
CST-00011255,US
CST-00011256,US
CST-00011257,US
CST-00011258,US
CST-00011259,US
CST-00011260,US
CST-00011261,US
CST-00011262,Canada
CST-00011263,US
CST-00011264,US
CST-00011265,US
CST-00011266,US
CST-00011267,US
CST-00011268,US
CST-00011269,US
CST-00011270,US
CST-00011271,US
CST-00011272,US
CST-00011273,US
CST-00011274,US
CST-00011275,US
CST-00011276,Canada
CST-00011277,Canada
CST-00011278,US
CST-00011279,US
CST-00011280,US
CST-00011281,US
CST-00011282,US
CST-00011283,US
CST-00011284,US
CST-00011285,US
CST-00011286,US
CST-00011287,Canada
CST-00011288,US
CST-00011289,US
CST-00011290,US
CST-00011291,US
CST-00011292,US
CST-00011293,US
CST-00011294,US
CST-00011295,US
CST-00011296,US
CST-00011297,US
CST-00011298,US
CST-00011299,US
CST-00011300,Canada
CST-00011301,US
CST-00011302,US
CST-00011303,US
CST-00011304,US
CST-00011305,US
CST-00011306,US
CST-00011307,US
CST-00011308,US
CST-00011309,US
CST-00011310,US
CST-00011311,US
CST-00011312,US
CST-00011313,US
CST-00011314,US
CST-00011315,US
CST-00011316,Canada
CST-00011317,US
CST-00011318,US
CST-00011319,US
CST-00011320,US
CST-00011321,US
CST-00011322,US
CST-00011323,US
CST-00011324,US
CST-00011325,US
CST-00011326,US
CST-00011327,US
CST-00011328,Canada
CST-00011329,US
CST-00011330,Canada
CST-00011331,Canada
CST-00011332,DE
CST-00011333,United Kingdom
CST-00011334,United Kingdom
CST-00011335,DE
CST-00011336,France
CST-00011337,United Kingdom
CST-00011338,DE
CST-00011339,France
CST-00011340,France
CST-00011341,United Kingdom
CST-00011342,France
CST-00011343,United Kingdom
CST-00011344,United Kingdom
CST-00011345,France
CST-00011346,France
CST-00011347,DE
CST-00011348,DE
CST-00011349,DE
CST-00011350,United Kingdom
CST-00011351,United Kingdom
CST-00011352,France
CST-00011353,United Kingdom
CST-00011354,DE
CST-00011355,United Kingdom
CST-00011356,Brazil
CST-00011357,Brazil
CST-00011358,Brazil
CST-00011359,Brazil
CST-00011360,Brazil
CST-00011361,Brazil
CST-00011362,Brazil
CST-00011363,Brazil
CST-00011364,Brazil
CST-00011365,Brazil
CST-00011366,Brazil
CST-00011367,Brazil
CST-00011368,Brazil
CST-00011369,Brazil
CST-00011370,Brazil
